Brand_Name,Deal_Week,deal_id,store_id,Week,total_inventory,Elasticity,new_discount,Actual discount,Inventory,Actual Remaining Inventory,week_gross,Weekly gross actual,week_gross_td,week_nett,week_nett_td,Period,deal_recovery,date1,Inventory remaining difference,discount difference,recovery actual
Forever 21,3,934,37601,Week8,4088217.28,0.046041725,32.0564533,0.4652,292705.3489,293947.02,398548.3854,3794270.26,3795511.931,270787.9084,2829823.33,Future_Plan,0.734251067,2025-01-08,-1241.671088,-14.4635467,0.501895264
Forever 21,3,934,37601,Week9,4088217.28,0.046041725,41.25335589,0.4809,-0.000200818,135447.75,292705.3491,3952769.53,4088217.28,171954.5697,3001777.9,Future_Plan,0.734251067,2025-01-15,-135447.7502,-6.836644112,0.501895264
Forever 21,4,934,37601,Week1,4088217.28,,20.88,0.2088,3834847.72,3834847.72,253369.56,253369.56,253369.56,200465.9959,200465.9959,History,0.703493921,2024-11-20,0,0,0.501895264
Forever 21,4,934,37601,Week2,4088217.28,,22.78,0.2278,3477213.43,3477213.43,357634.29,611003.85,611003.85,276165.1987,476631.1946,History,0.703493921,2024-11-27,0,0,0.501895264
Forever 21,4,934,37601,Week3,4088217.28,,27.02,0.2702,3040710.82,3040710.82,436502.61,1047506.46,1047506.46,318559.6048,795190.7994,History,0.703493921,2024-12-04,0,0,0.501895264
Forever 21,4,934,37601,Week4,4088217.28,0.0305566,26.43739212,0.3143,2299359.078,2598073.31,741351.7418,1490143.97,1788858.202,545357.6748,1340548.474,Future_Plan,0.703493921,2024-12-11,-298714.2318,-4.992607875,0.501895264
Forever 21,4,934,37601,Week5,4088217.28,0.0305566,27.22952191,0.3538,1683099.828,1984604.49,616259.2506,2103612.79,2405117.452,448454.8029,1789003.277,Future_Plan,0.703493921,2024-12-18,-301504.6624,-8.150478087,0.501895264
Forever 21,4,934,37601,Week6,4088217.28,0.0305566,28.42746291,0.4038,1170396.494,1216383.89,512703.3338,2871833.39,2917820.786,366954.7838,2155958.061,Future_Plan,0.703493921,2024-12-25,-45987.3962,-11.95253709,0.501895264
Forever 21,4,934,37601,Week7,4088217.28,0.0305566,30.23729885,0.434,749146.3038,690312.17,421250.19,3397905.11,3339070.976,293875.5112,2449833.572,Future_Plan,0.703493921,2025-01-01,58834.13375,-13.16270115,0.501895264
Forever 21,4,934,37601,Week8,4088217.28,0.0305566,32.96638528,0.4652,417040.3615,293947.02,332105.9423,3794270.26,3671176.919,222622.6178,2672456.19,Future_Plan,0.703493921,2025-01-08,123093.3415,-13.55361472,0.501895264
